x,y,z
70.72,62.08,16.74
70.7,62.05,16.7
70.68,62.02,16.67
70.66,61.99,16.63
70.64,61.96,16.59
70.6,61.93,16.55
70.59,61.89,16.52
70.56,61.87,16.48
70.54,61.83,16.44
70.38,61.42,15.94
70.37,61.39,15.91
70.37,61.37,15.87
70.36,61.34,15.84
70.36,61.32,15.8
70.37,61.29,15.77
70.35,61.26,15.73
70.34,61.23,15.7
70.35,61.21,15.68
70.35,61.18,15.64
70.34,61.15,15.61
70.34,61.13,15.57
70.39,60.76,15.15
70.4,60.74,15.12
70.41,60.71,15.1
70.42,60.69,15.07
70.43,60.67,15.04
70.44,60.64,15.01
70.44,60.62,14.98
70.45,60.6,14.95
70.46,60.57,14.92
70.47,60.55,14.9
70.49,60.52,14.87
70.68,60.2,14.52
70.7,60.18,14.5
70.72,60.16,14.48
70.74,60.13,14.46
70.76,60.11,14.43
70.77,60.09,14.41
70.79,60.07,14.39
70.81,60.05,14.36
70.83,60.03,14.34
70.85,60.01,14.32
70.87,59.99,14.29
70.89,59.96,14.27
71.22,59.67,14
71.23,59.65,13.99
71.25,59.62,13.97
71.28,59.61,13.95
71.3,59.58,13.94
71.34,59.56,13.92
71.35,59.54,13.9
71.39,59.52,13.89
71.42,59.5,13.87
71.44,59.48,13.85
71.47,59.46,13.84
71.5,59.45,13.82
71.9,59.17,13.62
71.93,59.15,13.61
71.96,59.13,13.59
71.99,59.11,13.58
72.04,59.1,13.57
72.05,59.07,13.56
72.1,59.06,13.55
72.12,59.04,13.54
72.15,59.02,13.52
72.18,59,13.51
72.21,58.98,13.5
72.24,58.96,13.49
72.71,58.69,13.36
72.75,58.67,13.35
72.78,58.65,13.34
72.82,58.63,13.34
72.86,58.62,13.33
72.89,58.6,13.32
72.93,58.58,13.31
72.97,58.57,13.3
73,58.54,13.3
73.04,58.52,13.29
73.07,58.51,13.29
84.62,21.76,68.23
73.7,58.19,13.2
73.74,58.16,13.2
73.78,58.15,13.2
73.82,58.12,13.2
73.86,58.11,13.2
73.9,58.09,13.19
73.92,58.07,13.19
73.96,58.05,13.18
74.01,58.04,13.18
74.05,58.01,13.18
74.09,58,13.18
74.13,57.97,13.18
74.7,57.72,13.17
74.73,57.7,13.16
74.77,57.69,13.16
74.82,57.67,13.17
74.86,57.64,13.17
74.89,57.63,13.17
74.94,57.61,13.17
74.98,57.59,13.17
75.03,57.58,13.17
75.07,57.56,13.17
75.1,57.54,13.17
75.15,57.52,13.17
75.76,57.27,13.22
75.8,57.25,13.22
75.84,57.23,13.23
75.89,57.22,13.23
75.93,57.2,13.23
75.97,57.17,13.24
76.02,57.16,13.24
76.07,57.14,13.25
76.11,57.13,13.25
76.16,57.11,13.26
76.2,57.09,13.26
76.24,57.07,13.27
76.86,56.81,13.35
76.91,56.79,13.36
76.95,56.78,13.36
77,56.76,13.37
77.04,56.75,13.37
77.09,56.72,13.38
77.14,56.7,13.39
77.18,56.68,13.4
77.21,56.66,13.4
77.26,56.64,13.41
77.32,56.63,13.42
14.61,28.62,61.31
78.04,56.32,13.55
78.08,56.3,13.56
78.13,56.28,13.57
78.17,56.26,13.58
78.23,56.25,13.59
78.27,56.22,13.6
78.32,56.2,13.61
78.36,56.18,13.62
78.4,56.17,13.63
78.46,56.15,13.64
78.5,56.13,13.64
78.56,56.13,13.64
79.13,55.79,13.78
79.1,55.71,13.77
79.11,55.6,13.82
79.23,55.63,13.88
79.34,55.69,13.89
79.4,55.66,13.9
79.52,55.66,13.93
79.68,55.79,13.95
79.75,55.89,13.91
79.69,55.8,13.87
79.62,55.62,13.89
79.61,55.51,13.93
80.36,55.22,14.18
80.47,55.3,14.18
80.5,55.3,14.17
80.51,55.23,14.18
80.52,55.16,14.22
80.56,55.15,14.22
80.58,55.11,14.22
80.62,55.06,14.24
80.69,55.03,14.28
80.77,55.02,14.3
80.85,55.04,14.31
80.92,55.08,14.32
81.55,54.76,14.51
81.61,54.74,14.53
81.64,54.73,14.54
81.68,54.69,14.54
81.72,54.64,14.56
81.76,54.59,14.59
81.8,54.57,14.61
81.84,54.54,14.62
81.9,54.53,14.64
81.96,54.52,14.66
82.02,54.52,14.67
68.19,31.05,14.29
82.73,54.11,14.92
82.77,54.07,14.94
82.83,54.05,14.97
82.9,54.04,14.99
82.97,54.05,15
83.03,54.04,15.02
83.07,54.02,15.03
83.1,53.97,15.05
83.13,53.94,15.06
83.17,53.92,15.08
83.21,53.89,15.09
83.26,53.85,15.11
83.94,53.57,15.34
83.99,53.56,15.35
84.03,53.53,15.37
84.08,53.52,15.39
84.13,53.49,15.41
84.18,53.48,15.42
84.22,53.45,15.43
84.27,53.43,15.46
84.32,53.4,15.48
84.36,53.37,15.5
84.41,53.35,15.51
84.46,53.32,15.53
85.11,53,15.77
85.16,52.97,15.79
85.2,52.94,15.81
85.25,52.93,15.82
85.31,52.93,15.84
85.36,52.91,15.86
85.41,52.89,15.89
85.45,52.86,15.89
85.5,52.84,15.91
85.54,52.82,15.93
85.58,52.8,15.94
85.63,52.78,15.96
86.29,52.49,16.18
86.33,52.47,16.21
86.38,52.45,16.22
86.43,52.42,16.24
86.47,52.41,16.25
86.51,52.39,16.27
86.55,52.36,16.28
86.59,52.33,16.3
86.64,52.31,16.32
86.68,52.29,16.33
86.73,52.27,16.36
14.8,26.7,63
87.43,51.95,16.61
87.47,51.95,16.62
87.52,51.93,16.64
87.57,51.91,16.66
87.61,51.88,16.67
87.66,51.85,16.69
87.7,51.83,16.71
87.76,51.82,16.73
87.8,51.8,16.74
87.85,51.77,16.76
87.88,51.75,16.77
88.53,51.48,17.01
88.57,51.46,17.02
88.62,51.45,17.04
88.66,51.42,17.06
88.71,51.41,17.07
88.75,51.37,17.1
88.8,51.35,17.11
88.83,51.33,17.12
88.88,51.31,17.14
88.93,51.29,17.16
88.99,51.29,17.21
89.08,51.29,17.3
90.11,51.49,18.48
90.18,51.5,18.55
90.25,51.51,18.63
90.32,51.53,18.71
90.39,51.54,18.79
90.45,51.55,18.87
90.52,51.56,18.94
90.59,51.57,19.02
90.65,51.59,19.09
90.71,51.6,19.16
90.79,51.6,19.24
90.85,51.61,19.31
91.73,51.76,20.28
91.78,51.76,20.35
91.84,51.76,20.41
91.89,51.77,20.48
91.96,51.79,20.54
