x,y,z
63.45,60.77,15.99
63.44,60.74,15.96
63.43,60.71,15.91
63.42,60.67,15.87
63.4,60.64,15.83
63.39,60.6,15.79
63.39,60.57,15.74
63.37,60.53,15.7
63.36,60.5,15.66
63.34,60.06,15.11
63.35,60.03,15.07
63.37,60,15.03
63.38,59.97,15
63.39,59.95,14.96
63.38,59.92,14.92
63.39,59.89,14.88
63.4,59.87,14.84
63.42,59.84,14.81
63.41,59.8,14.77
63.42,59.78,14.73
63.43,59.74,14.7
63.62,59.37,14.22
63.62,59.34,14.19
63.63,59.31,14.16
63.65,59.29,14.12
63.67,59.26,14.09
63.68,59.24,14.06
63.7,59.22,14.03
63.72,59.19,14
63.74,59.17,13.96
63.76,59.14,13.94
63.76,59.11,13.91
64.08,58.79,13.5
64.11,58.77,13.48
64.13,58.75,13.45
64.15,58.72,13.42
64.18,58.7,13.4
64.21,58.68,13.38
64.23,58.66,13.35
64.26,58.64,13.32
64.29,58.62,13.3
64.31,58.6,13.27
64.34,58.58,13.24
64.35,58.55,13.22
64.74,58.25,12.9
64.77,58.23,12.88
64.81,58.21,12.86
64.84,58.19,12.84
64.87,58.17,12.82
64.9,58.16,12.79
64.94,58.14,12.78
64.97,58.13,12.75
65,58.1,12.74
65.02,58.08,12.72
65.07,58.06,12.7
65.09,58.04,12.69
65.56,57.78,12.44
65.6,57.75,12.42
65.64,57.74,12.41
65.67,57.72,12.39
65.7,57.7,12.37
65.74,57.68,12.36
65.78,57.67,12.35
65.81,57.65,12.33
65.85,57.63,12.31
65.89,57.61,12.3
65.92,57.59,12.29
65.96,57.57,12.27
66.5,57.33,12.11
66.53,57.32,12.1
66.57,57.3,12.09
66.61,57.28,12.07
66.66,57.26,12.07
66.69,57.25,12.06
66.73,57.22,12.05
66.76,57.21,12.04
66.81,57.19,12.03
66.85,57.18,12.02
66.89,57.16,12.01
81.68,42.11,47.12
67.6,56.88,11.89
67.63,56.86,11.88
67.68,56.85,11.88
67.72,56.83,11.87
67.76,56.81,11.87
67.8,56.79,11.87
67.84,56.77,11.86
67.89,56.76,11.86
67.93,56.74,11.85
67.98,56.72,11.85
68.01,56.71,11.84
68.06,56.69,11.84
68.68,56.47,11.81
68.73,56.45,11.8
68.77,56.43,11.8
68.8,56.41,11.8
68.85,56.4,11.8
68.89,56.38,11.8
68.94,56.36,11.8
68.99,56.35,11.8
69.04,56.34,11.8
69.08,56.32,11.8
69.13,56.31,11.8
69.17,56.29,11.8
69.81,56.07,11.81
69.86,56.05,11.81
69.9,56.03,11.82
69.96,56.02,11.82
70,56,11.82
70.04,55.98,11.82
70.1,55.97,11.83
70.14,55.95,11.83
70.18,55.94,11.83
70.23,55.92,11.83
70.28,55.9,11.83
70.32,55.89,11.83
70.97,55.66,11.89
71.03,55.65,11.9
71.07,55.63,11.9
71.12,55.62,11.91
76.34,3.79,3.4
78.11,9.37,8.48
80.07,15.06,13.87
82.14,20.74,19.3
83.96,26.18,24.76
85.76,31.09,30.04
87.38,35.3,34.91
88.82,38.61,39.25
72.16,55.25,12.05
72.21,55.23,12.06
72.26,55.21,12.07
72.31,55.2,12.08
72.35,55.18,12.08
72.4,55.16,12.09
72.45,55.14,12.1
72.49,55.13,12.11
72.54,55.11,12.12
72.59,55.1,12.13
72.64,55.08,12.14
84.94,5.51,28.72
73.37,54.83,12.27
73.42,54.82,12.28
73.47,54.8,12.29
73.52,54.79,12.3
73.57,54.76,12.31
73.61,54.74,12.32
73.66,54.73,12.34
73.71,54.71,12.35
73.75,54.7,12.35
73.8,54.68,12.37
73.85,54.66,12.38
44.95,20.06,31.83
74.64,54.39,12.56
74.69,54.38,12.57
74.73,54.36,12.57
74.78,54.34,12.59
74.83,54.32,12.6
74.88,54.31,12.61
74.93,54.29,12.63
74.98,54.27,12.64
75.02,54.25,12.65
75.08,54.23,12.67
75.13,54.22,12.68
75.18,54.2,12.69
75.87,53.95,12.87
75.91,53.94,12.88
75.97,53.93,12.89
76.02,53.91,12.91
76.06,53.89,12.92
76.11,53.87,12.93
76.16,53.85,12.95
76.2,53.83,12.96
76.26,53.81,12.98
76.31,53.79,13
76.36,53.78,13.01
76.42,53.78,13.02
77.14,53.58,13.22
77.19,53.56,13.23
77.23,53.54,13.25
77.28,53.52,13.26
77.31,53.49,13.27
77.36,53.47,13.29
77.4,53.45,13.3
