x,y,z
11.42,27.88,62.01
49.91,77.62,1.79
1.39,2.16,87.55
6.91,4.36,81.8
71.83,55.07,34.93
4.25,6.48,82.42
12.43,20.25,66.43
81.65,21.01,65.74
74.18,22.03,64.41
73.43,23.06,63.07
63.69,36.35,43.51
63,37.17,42.07
62.32,37.95,40.65
61.65,38.72,39.21
60.98,39.45,37.78
60.32,40.15,36.35
59.65,40.82,34.92
58.99,41.45,33.49
58.32,42.04,32.07
57.66,42.6,30.65
56.99,43.12,29.22
56.34,43.59,27.81
55.68,44.03,26.4
55.02,44.42,24.99
45.94,45.15,6.15
45.31,44.87,4.89
44.68,44.57,3.63
44.05,44.23,2.39
43.43,43.84,1.17
42.8,43.44,0.04
42.18,43,1.24
41.57,42.53,2.42
40.95,42.04,3.6
40.34,41.53,4.75
39.72,40.98,5.89
39.12,40.42,7.02
38.52,39.84,8.13
37.91,39.23,9.22
29.88,29.62,22.8
29.34,28.89,23.64
28.8,28.16,24.47
28.26,27.43,25.28
27.73,26.7,26.07
27.2,25.96,26.84
26.67,25.23,27.6
26.16,24.51,28.34
25.64,23.77,29.06
25.13,23.04,29.76
24.61,22.32,30.45
24.11,21.59,31.13
23.61,20.87,31.78
17.02,11.12,39.24
16.59,10.45,39.66
16.16,9.82,40.09
15.78,9.24,40.39
15.35,8.61,40.68
14.86,7.87,41.04
14.39,7.14,41.48
13.96,6.51,41.87
13.63,6.01,42.14
13.25,5.44,42.37
12.86,4.83,42.59
12.38,4.09,42.87
11.96,3.44,43.18
6.88,4.43,45.28
6.59,4.94,45.28
6.23,5.52,45.31
5.88,6.07,45.34
5.54,6.58,45.41
5.25,7.04,45.43
4.93,7.55,45.45
4.65,8.04,45.41
4.31,8.58,45.43
4.02,9.08,45.39
3.69,9.59,45.38
3.4,10.07,45.33
3.09,10.57,45.32
2.81,11.04,45.26
0.91,17.36,43.93
1.17,17.8,43.81
1.41,18.23,43.66
1.65,18.65,43.52
1.87,19.05,43.38
2.1,19.46,43.22
2.3,19.86,43.05
2.54,20.29,42.88
2.76,20.7,42.7
2.99,21.11,42.56
3.2,21.49,42.38
5.81,26.7,39.69
5.98,27.05,39.48
6.14,27.4,39.26
6.31,27.75,39.06
6.46,28.08,38.85
6.61,28.42,38.64
6.75,28.76,38.42
6.91,29.11,38.2
7.06,29.45,37.98
7.2,29.78,37.77
7.34,30.1,37.55
7.48,30.42,37.35
9.12,34.73,34.26
9.2,35,34.03
9.29,35.29,33.81
9.38,35.57,33.59
9.48,35.87,33.37
9.55,36.14,33.15
9.65,36.42,32.94
9.72,36.7,32.7
9.81,36.98,32.49
9.88,37.25,32.27
9.96,37.52,32.06
10.03,37.78,31.83
10.78,41.35,28.84
10.83,41.6,28.64
10.86,41.83,28.43
10.89,42.07,28.23
10.91,42.29,28.01
10.95,42.54,27.8
10.97,42.77,27.6
11,43,27.4
11.02,43.22,27.21
11.04,43.45,27.01
11.04,43.67,26.79
11.02,46.63,24.04
11.01,46.83,23.85
10.97,47.02,23.66
10.96,47.22,23.48
10.92,47.41,23.28
10.91,47.61,23.1
10.87,47.8,22.92
10.85,47.99,22.75
10.8,48.17,22.57
10.77,48.37,22.39
10.75,48.56,22.21
9.97,50.99,19.78
9.92,51.16,19.63
9.83,51.32,19.45
9.78,51.5,19.29
9.7,51.64,19.13
9.62,51.82,18.97
9.54,51.97,18.81
9.45,52.12,18.65
9.36,52.27,18.49
